Behaviour,Round,total100,total90,total75,total50
WANDERING,0,1841,1840,369,160
GREEDY,0,848,847,213,32
FRONTIER,0,55,54,36,24
GREEDY_FRONTIER,0,57,56,41,22
FRONTIER_ASSIST,0,55,54,36,24
SCOUT,0,77,76,43,26
FRONTIER_CENTRAL_GREEDY,0,72,71,38,26
ZONE_SPLIT,0,214,213,84,49
ZONE_VORONOI,0,58,57,33,24
WANDERING,1,1092,1091,315,111
GREEDY,1,762,761,105,25
FRONTIER,1,62,61,37,23
GREEDY_FRONTIER,1,53,52,34,22
FRONTIER_ASSIST,1,62,61,37,23
SCOUT,1,76,75,37,26
FRONTIER_CENTRAL_GREEDY,1,457,456,37,26
ZONE_SPLIT,1,215,214,96,48
ZONE_VORONOI,1,50,49,34,22
WANDERING,2,1131,1130,448,209
GREEDY,2,1502,1501,124,66
FRONTIER,2,-1,1999,39,28
GREEDY_FRONTIER,2,83,82,44,28
FRONTIER_ASSIST,2,113,112,40,29
SCOUT,2,115,114,49,32
FRONTIER_CENTRAL_GREEDY,2,88,87,37,26
ZONE_SPLIT,2,161,160,93,54
ZONE_VORONOI,2,66,65,39,28
WANDERING,3,1545,1544,507,220
GREEDY,3,1594,1593,189,26
FRONTIER,3,61,60,41,27
GREEDY_FRONTIER,3,58,57,41,24
FRONTIER_ASSIST,3,61,60,41,27
SCOUT,3,64,63,42,27
FRONTIER_CENTRAL_GREEDY,3,221,220,40,28
ZONE_SPLIT,3,310,309,94,43
ZONE_VORONOI,3,74,73,40,26
WANDERING,4,-1,1999,362,206
GREEDY,4,279,278,96,45
FRONTIER,4,46,45,32,25
GREEDY_FRONTIER,4,77,76,40,28
FRONTIER_ASSIST,4,46,45,32,25
SCOUT,4,83,82,35,25
FRONTIER_CENTRAL_GREEDY,4,68,67,34,25
ZONE_SPLIT,4,-1,1999,109,50
ZONE_VORONOI,4,90,89,40,26
WANDERING,5,1781,1780,525,159
GREEDY,5,-1,1999,88,38
FRONTIER,5,66,65,39,27
GREEDY_FRONTIER,5,97,96,66,40
FRONTIER_ASSIST,5,66,65,39,27
SCOUT,5,73,72,39,28
FRONTIER_CENTRAL_GREEDY,5,147,146,36,27
ZONE_SPLIT,5,266,265,68,43
ZONE_VORONOI,5,83,82,45,27
WANDERING,6,950,949,318,169
GREEDY,6,506,505,47,24
FRONTIER,6,50,49,32,22
GREEDY_FRONTIER,6,61,60,30,20
FRONTIER_ASSIST,6,50,49,32,22
SCOUT,6,54,53,37,23
FRONTIER_CENTRAL_GREEDY,6,43,42,33,23
ZONE_SPLIT,6,308,307,95,58
ZONE_VORONOI,6,74,73,35,25
WANDERING,7,1724,1723,394,200
