Behaviour,Round,total100,total90,total75,total50
GREEDY,17,466,465,213,76
FRONTIER,17,103,102,74,48
GREEDY_FRONTIER,17,104,103,73,51
FRONTIER_ASSIST,17,122,121,74,48
SCOUT,17,105,104,82,59
FRONTIER_CENTRAL_GREEDY,17,103,102,69,56
ZONE_SPLIT,17,-1,1999,90,61
ZONE_VORONOI,17,94,93,72,55
WANDERING,18,1883,1882,904,461
GREEDY,18,596,595,563,68
FRONTIER,18,123,122,97,63
GREEDY_FRONTIER,18,77,76,61,51
FRONTIER_ASSIST,18,123,122,97,63
SCOUT,18,141,140,73,58
FRONTIER_CENTRAL_GREEDY,18,114,113,90,62
ZONE_SPLIT,18,98,97,78,58
ZONE_VORONOI,18,92,91,76,56
WANDERING,19,1709,1708,609,343
GREEDY,19,199,198,129,64
FRONTIER,19,107,106,76,57
GREEDY_FRONTIER,19,93,92,68,52
FRONTIER_ASSIST,19,107,106,76,57
SCOUT,19,134,133,80,54
FRONTIER_CENTRAL_GREEDY,19,104,103,81,60
ZONE_SPLIT,19,98,97,79,53
ZONE_VORONOI,19,98,97,80,53
