Behaviour,Round,total100,total90,total75,total50
WANDERING,0,491,490,175,87
GREEDY,0,77,76,38,27
FRONTIER,0,38,37,30,22
GREEDY_FRONTIER,0,45,44,33,26
FRONTIER_ASSIST,0,38,37,30,22
SCOUT,0,44,43,32,23
FRONTIER_CENTRAL_GREEDY,0,132,131,31,23
ZONE_SPLIT,0,192,191,102,37
ZONE_VORONOI,0,47,46,32,24
WANDERING,1,617,616,209,101
GREEDY,1,477,476,75,32
FRONTIER,1,42,41,28,20
GREEDY_FRONTIER,1,53,52,35,26
FRONTIER_ASSIST,1,42,41,28,20
SCOUT,1,52,51,39,24
FRONTIER_CENTRAL_GREEDY,1,43,42,30,21
ZONE_SPLIT,1,145,144,130,59
ZONE_VORONOI,1,45,44,32,22
WANDERING,2,487,486,165,92
GREEDY,2,83,82,42,30
FRONTIER,2,36,35,26,20
GREEDY_FRONTIER,2,45,44,37,27
FRONTIER_ASSIST,2,36,35,26,20
SCOUT,2,56,55,35,25
FRONTIER_CENTRAL_GREEDY,2,36,35,27,21
ZONE_SPLIT,2,305,304,228,44
ZONE_VORONOI,2,44,43,27,21
WANDERING,3,566,565,189,98
GREEDY,3,110,109,33,22
FRONTIER,3,37,36,29,22
GREEDY_FRONTIER,3,39,38,30,22
FRONTIER_ASSIST,3,37,36,29,22
SCOUT,3,45,44,32,23
FRONTIER_CENTRAL_GREEDY,3,46,45,25,20
ZONE_SPLIT,3,123,122,79,43
ZONE_VORONOI,3,49,48,29,20
WANDERING,4,386,385,126,89
GREEDY,4,80,79,48,36
FRONTIER,4,37,36,26,19
GREEDY_FRONTIER,4,40,39,33,25
FRONTIER_ASSIST,4,37,36,26,19
SCOUT,4,61,60,32,22
FRONTIER_CENTRAL_GREEDY,4,45,44,33,21
ZONE_SPLIT,4,202,201,182,52
ZONE_VORONOI,4,42,41,30,22
WANDERING,5,519,518,174,97
GREEDY,5,209,208,58,28
FRONTIER,5,46,45,30,20
GREEDY_FRONTIER,5,41,40,33,25
FRONTIER_ASSIST,5,46,45,30,20
SCOUT,5,61,60,34,25
FRONTIER_CENTRAL_GREEDY,5,43,42,31,21
ZONE_SPLIT,5,133,132,82,47
ZONE_VORONOI,5,62,61,31,22
WANDERING,6,618,617,137,77
GREEDY,6,56,55,37,24
FRONTIER,6,40,39,29,22
GREEDY_FRONTIER,6,42,41,29,22
FRONTIER_ASSIST,6,43,42,29,22
SCOUT,6,51,50,33,24
FRONTIER_CENTRAL_GREEDY,6,43,42,26,20
ZONE_SPLIT,6,196,195,173,61
ZONE_VORONOI,6,42,41,29,21
