Behaviour,Round,total100,total90,total75,total50
WANDERING,0,-1,1999,835,553
GREEDY,0,539,538,247,142
FRONTIER,0,73,72,57,39
GREEDY_FRONTIER,0,145,144,90,42
FRONTIER_ASSIST,0,73,72,57,39
SCOUT,0,118,117,65,43
FRONTIER_CENTRAL_GREEDY,0,-1,1999,59,41
ZONE_SPLIT,0,186,185,118,87
ZONE_VORONOI,0,129,128,71,38
WANDERING,1,-1,1999,1768,1238
GREEDY,1,516,515,282,209
FRONTIER,1,114,113,93,70
GREEDY_FRONTIER,1,207,206,80,59
FRONTIER_ASSIST,1,114,113,93,70
SCOUT,1,94,93,72,51
FRONTIER_CENTRAL_GREEDY,1,89,88,72,58
ZONE_SPLIT,1,-1,1999,170,75
ZONE_VORONOI,1,104,103,79,61
WANDERING,2,-1,1999,1267,483
GREEDY,2,1056,1055,344,161
FRONTIER,2,91,90,61,39
GREEDY_FRONTIER,2,-1,1999,61,45
FRONTIER_ASSIST,2,91,90,61,39
SCOUT,2,160,159,73,55
FRONTIER_CENTRAL_GREEDY,2,-1,1999,63,37
ZONE_SPLIT,2,118,117,87,55
ZONE_VORONOI,2,104,103,71,50
WANDERING,3,-1,1999,1144,446
GREEDY,3,935,934,150,108
FRONTIER,3,95,94,70,40
GREEDY_FRONTIER,3,-1,1999,50,37
FRONTIER_ASSIST,3,108,107,68,40
SCOUT,3,127,126,56,35
FRONTIER_CENTRAL_GREEDY,3,-1,1999,53,38
ZONE_SPLIT,3,-1,1999,90,54
ZONE_VORONOI,3,80,79,52,42
WANDERING,4,-1,1999,823,448
GREEDY,4,-1,1999,175,75
FRONTIER,4,65,64,48,36
GREEDY_FRONTIER,4,74,73,52,34
FRONTIER_ASSIST,4,65,64,48,36
SCOUT,4,274,273,57,39
FRONTIER_CENTRAL_GREEDY,4,144,143,55,39
ZONE_SPLIT,4,-1,1999,107,61
ZONE_VORONOI,4,109,108,63,42
WANDERING,5,-1,1999,1452,541
GREEDY,5,1157,1156,460,190
FRONTIER,5,129,128,104,52
GREEDY_FRONTIER,5,157,156,108,54
FRONTIER_ASSIST,5,129,128,104,52
SCOUT,5,141,140,111,59
FRONTIER_CENTRAL_GREEDY,5,-1,1999,75,57
ZONE_SPLIT,5,161,160,96,67
ZONE_VORONOI,5,132,131,85,49
WANDERING,6,-1,1999,1120,304
GREEDY,6,652,651,394,233
FRONTIER,6,87,86,57,39
GREEDY_FRONTIER,6,95,94,70,50
FRONTIER_ASSIST,6,89,88,57,39
SCOUT,6,120,119,63,40
FRONTIER_CENTRAL_GREEDY,6,-1,1999,52,37
ZONE_SPLIT,6,-1,-1,1999,106
ZONE_VORONOI,6,101,100,61,40
WANDERING,7,-1,1999,645,281
GREEDY,7,532,531,411,108
FRONTIER,7,91,90,62,38
GREEDY_FRONTIER,7,113,112,78,47
FRONTIER_ASSIST,7,91,90,62,38
SCOUT,7,244,243,58,39
FRONTIER_CENTRAL_GREEDY,7,89,88,76,47
ZONE_SPLIT,7,201,200,129,71
ZONE_VORONOI,7,138,137,72,45
WANDERING,8,1697,1696,781,357
GREEDY,8,610,609,320,146
FRONTIER,8,78,77,59,46
GREEDY_FRONTIER,8,66,65,53,42
FRONTIER_ASSIST,8,83,82,59,45
SCOUT,8,96,95,64,47
FRONTIER_CENTRAL_GREEDY,8,-1,1999,57,45
ZONE_SPLIT,8,232,231,149,69
ZONE_VORONOI,8,112,111,73,53
WANDERING,9,-1,1999,1055,429
GREEDY,9,1193,1192,215,83
FRONTIER,9,85,84,51,35
GREEDY_FRONTIER,9,-1,1999,49,36
FRONTIER_ASSIST,9,85,84,51,35
SCOUT,9,104,103,69,48
FRONTIER_CENTRAL_GREEDY,9,-1,1999,51,35
ZONE_SPLIT,9,159,158,94,55
ZONE_VORONOI,9,87,86,52,41
WANDERING,10,-1,1999,1282,386
GREEDY,10,775,774,255,156
FRONTIER,10,82,81,56,42
GREEDY_FRONTIER,10,-1,1999,75,51
FRONTIER_ASSIST,10,82,81,56,42
SCOUT,10,118,117,52,40
FRONTIER_CENTRAL_GREEDY,10,99,98,50,38
ZONE_SPLIT,10,119,118,85,60
ZONE_VORONOI,10,93,92,61,42
WANDERING,11,-1,1999,1225,524
GREEDY,11,662,661,303,161
FRONTIER,11,95,94,74,40
GREEDY_FRONTIER,11,139,138,75,49
FRONTIER_ASSIST,11,96,95,74,40
SCOUT,11,107,106,88,63
