Behaviour,Round,total100,total90,total75,total50
WANDERING,0,-1,1999,727,226
GREEDY,0,443,442,145,86
FRONTIER,0,92,91,47,34
GREEDY_FRONTIER,0,137,136,56,38
FRONTIER_ASSIST,0,92,91,47,34
SCOUT,0,82,81,58,40
FRONTIER_CENTRAL_GREEDY,0,-1,1999,52,36
ZONE_SPLIT,0,536,535,140,54
ZONE_VORONOI,0,74,73,53,34
WANDERING,1,-1,1999,304,182
GREEDY,1,1870,1869,101,62
FRONTIER,1,137,136,77,33
GREEDY_FRONTIER,1,128,127,55,36
FRONTIER_ASSIST,1,93,92,56,33
SCOUT,1,82,81,43,32
FRONTIER_CENTRAL_GREEDY,1,380,379,60,42
ZONE_SPLIT,1,-1,1999,132,48
ZONE_VORONOI,1,107,106,59,39
WANDERING,2,1708,1707,645,270
GREEDY,2,-1,1999,487,65
FRONTIER,2,-1,1999,59,43
GREEDY_FRONTIER,2,145,144,61,44
FRONTIER_ASSIST,2,-1,1999,66,43
SCOUT,2,104,103,65,42
FRONTIER_CENTRAL_GREEDY,2,-1,1999,52,36
ZONE_SPLIT,2,828,827,134,55
ZONE_VORONOI,2,157,156,88,43
WANDERING,3,-1,1999,505,155
GREEDY,3,451,450,61,39
FRONTIER,3,69,68,44,31
GREEDY_FRONTIER,3,97,96,48,31
FRONTIER_ASSIST,3,69,68,44,31
SCOUT,3,-1,1999,56,35
FRONTIER_CENTRAL_GREEDY,3,97,96,42,33
ZONE_SPLIT,3,465,464,79,48
ZONE_VORONOI,3,104,103,47,34
WANDERING,4,1620,1619,496,206
GREEDY,4,344,343,71,45
FRONTIER,4,65,64,47,32
GREEDY_FRONTIER,4,135,134,52,35
FRONTIER_ASSIST,4,65,64,47,32
SCOUT,4,74,73,53,36
FRONTIER_CENTRAL_GREEDY,4,60,59,47,33
ZONE_SPLIT,4,338,337,130,51
ZONE_VORONOI,4,66,65,47,34
WANDERING,5,1968,1967,711,293
GREEDY,5,498,497,197,118
FRONTIER,5,79,78,52,34
GREEDY_FRONTIER,5,80,79,61,40
FRONTIER_ASSIST,5,79,78,52,34
SCOUT,5,101,100,60,38
FRONTIER_CENTRAL_GREEDY,5,84,83,46,34
ZONE_SPLIT,5,231,230,102,53
ZONE_VORONOI,5,98,97,47,33
WANDERING,6,-1,1999,594,217
GREEDY,6,850,849,254,60
FRONTIER,6,65,64,46,29
GREEDY_FRONTIER,6,112,111,61,29
FRONTIER_ASSIST,6,65,64,46,29
SCOUT,6,79,78,57,38
FRONTIER_CENTRAL_GREEDY,6,-1,1999,47,32
ZONE_SPLIT,6,483,482,155,42
ZONE_VORONOI,6,89,88,48,31
WANDERING,7,-1,1999,577,221
GREEDY,7,615,614,519,83
FRONTIER,7,96,95,58,39
GREEDY_FRONTIER,7,120,119,56,35
FRONTIER_ASSIST,7,118,117,60,38
SCOUT,7,121,120,58,36
FRONTIER_CENTRAL_GREEDY,7,-1,1999,56,39
ZONE_SPLIT,7,-1,1999,95,66
ZONE_VORONOI,7,86,85,56,35
WANDERING,8,-1,1999,687,289
GREEDY,8,594,593,82,49
FRONTIER,8,77,76,50,34
GREEDY_FRONTIER,8,123,122,48,36
FRONTIER_ASSIST,8,77,76,50,34
SCOUT,8,124,123,57,35
FRONTIER_CENTRAL_GREEDY,8,79,78,49,34
ZONE_SPLIT,8,172,171,95,53
ZONE_VORONOI,8,54,53,42,33
WANDERING,9,-1,1999,1090,275
GREEDY,9,1336,1335,640,77
FRONTIER,9,155,154,55,37
GREEDY_FRONTIER,9,119,118,65,39
FRONTIER_ASSIST,9,165,164,55,37
SCOUT,9,324,323,51,35
FRONTIER_CENTRAL_GREEDY,9,98,97,56,38
ZONE_SPLIT,9,-1,1999,133,53
ZONE_VORONOI,9,136,135,47,36
WANDERING,10,-1,1999,827,528
GREEDY,10,614,613,141,71
FRONTIER,10,88,87,68,48
GREEDY_FRONTIER,10,84,83,52,36
FRONTIER_ASSIST,10,88,87,68,48
SCOUT,10,107,106,67,40
FRONTIER_CENTRAL_GREEDY,10,-1,1999,62,36
ZONE_SPLIT,10,210,209,123,63
ZONE_VORONOI,10,152,151,85,45
WANDERING,11,-1,1999,342,199
GREEDY,11,580,579,146,62
FRONTIER,11,87,86,45,31
GREEDY_FRONTIER,11,116,115,62,36
FRONTIER_ASSIST,11,87,86,45,31
SCOUT,11,141,140,96,38
FRONTIER_CENTRAL_GREEDY,11,-1,1999,39,29
ZONE_SPLIT,11,423,422,92,60
ZONE_VORONOI,11,101,100,51,36
WANDERING,12,-1,1999,952,255
GREEDY,12,1040,1039,144,58
FRONTIER,12,75,74,46,29
GREEDY_FRONTIER,12,78,77,51,38
FRONTIER_ASSIST,12,75,74,46,29
SCOUT,12,96,95,65,35
FRONTIER_CENTRAL_GREEDY,12,-1,1999,45,30
ZONE_SPLIT,12,248,247,116,50
ZONE_VORONOI,12,87,86,41,29
WANDERING,13,-1,1999,716,266
GREEDY,13,313,312,88,52
FRONTIER,13,104,103,77,44
GREEDY_FRONTIER,13,147,146,62,37
FRONTIER_ASSIST,13,104,103,77,44
SCOUT,13,122,121,58,35
FRONTIER_CENTRAL_GREEDY,13,-1,1999,80,41
ZONE_SPLIT,13,-1,1999,113,66
ZONE_VORONOI,13,83,82,56,40
WANDERING,14,-1,1999,1110,311
GREEDY,14,320,319,156,62
FRONTIER,14,93,92,54,36
GREEDY_FRONTIER,14,81,80,61,39
FRONTIER_ASSIST,14,93,92,54,36
SCOUT,14,117,116,86,45
FRONTIER_CENTRAL_GREEDY,14,152,151,49,35
ZONE_SPLIT,14,278,277,110,63
ZONE_VORONOI,14,114,113,64,37
WANDERING,15,1654,1653,612,327
GREEDY,15,-1,1999,158,57
FRONTIER,15,87,86,48,35
GREEDY_FRONTIER,15,108,107,59,38
FRONTIER_ASSIST,15,124,123,48,35
SCOUT,15,140,139,94,51
FRONTIER_CENTRAL_GREEDY,15,-1,1999,50,36
ZONE_SPLIT,15,-1,1999,149,68
ZONE_VORONOI,15,107,106,63,41
WANDERING,16,1399,1398,374,187
GREEDY,16,394,393,94,49
FRONTIER,16,92,91,49,30
GREEDY_FRONTIER,16,97,96,53,37
FRONTIER_ASSIST,16,92,91,49,30
SCOUT,16,117,116,71,35
FRONTIER_CENTRAL_GREEDY,16,261,260,45,31
ZONE_SPLIT,16,-1,1999,121,47
ZONE_VORONOI,16,91,90,47,30
WANDERING,17,-1,1999,530,267
GREEDY,17,282,281,154,91
FRONTIER,17,97,96,64,42
GREEDY_FRONTIER,17,90,89,62,43
FRONTIER_ASSIST,17,97,96,64,42
SCOUT,17,115,114,74,51
FRONTIER_CENTRAL_GREEDY,17,96,95,61,41
ZONE_SPLIT,17,-1,1999,182,97
ZONE_VORONOI,17,155,154,102,51
WANDERING,18,-1,1999,451,137
GREEDY,18,820,819,227,45
FRONTIER,18,61,60,41,28
GREEDY_FRONTIER,18,84,83,47,36
FRONTIER_ASSIST,18,61,60,42,28
SCOUT,18,72,71,45,34
FRONTIER_CENTRAL_GREEDY,18,75,74,51,31
ZONE_SPLIT,18,294,293,96,51
ZONE_VORONOI,18,83,82,44,31
WANDERING,19,-1,1999,499,206
GREEDY,19,169,168,108,47
FRONTIER,19,67,66,41,31
GREEDY_FRONTIER,19,75,74,51,32
FRONTIER_ASSIST,19,67,66,41,31
