Behaviour,Round,total100,total90,total75,total50
ZONE_SPLIT,14,298,297,115,76
ZONE_VORONOI,14,116,115,67,50
WANDERING,15,-1,1999,988,351
GREEDY,15,853,852,376,73
FRONTIER,15,94,93,74,53
GREEDY_FRONTIER,15,132,131,90,51
FRONTIER_ASSIST,15,94,93,74,53
SCOUT,15,136,135,85,59
FRONTIER_CENTRAL_GREEDY,15,98,97,67,47
ZONE_SPLIT,15,333,332,165,118
ZONE_VORONOI,15,113,112,76,52
WANDERING,16,-1,1999,1300,380
GREEDY,16,-1,1999,496,139
FRONTIER,16,137,136,116,77
GREEDY_FRONTIER,16,138,137,103,70
FRONTIER_ASSIST,16,143,142,104,79
SCOUT,16,176,175,91,61
FRONTIER_CENTRAL_GREEDY,16,167,166,72,54
ZONE_SPLIT,16,218,217,121,78
ZONE_VORONOI,16,150,149,92,63
WANDERING,17,-1,1999,1067,526
GREEDY,17,1849,1848,311,118
FRONTIER,17,99,98,72,48
GREEDY_FRONTIER,17,114,113,70,50
FRONTIER_ASSIST,17,99,98,72,48
SCOUT,17,128,127,88,61
FRONTIER_CENTRAL_GREEDY,17,94,93,72,46
ZONE_SPLIT,17,363,362,138,73
ZONE_VORONOI,17,114,113,66,48
WANDERING,18,-1,1999,800,315
GREEDY,18,1000,999,183,128
FRONTIER,18,126,125,69,47
GREEDY_FRONTIER,18,168,167,78,52
FRONTIER_ASSIST,18,126,125,69,47
SCOUT,18,132,131,93,61
FRONTIER_CENTRAL_GREEDY,18,101,100,71,49
ZONE_SPLIT,18,210,209,113,73
ZONE_VORONOI,18,117,116,79,48
WANDERING,19,-1,1999,919,607
GREEDY,19,1406,1405,202,113
FRONTIER,19,180,179,84,57
GREEDY_FRONTIER,19,172,171,77,55
FRONTIER_ASSIST,19,180,179,84,57
SCOUT,19,163,162,110,70
FRONTIER_CENTRAL_GREEDY,19,168,167,78,53
ZONE_SPLIT,19,216,215,115,64
ZONE_VORONOI,19,111,110,73,59
