Behaviour,Round,total100,total90,total75,total50
WANDERING,0,296,295,177,91
GREEDY,0,373,372,45,18
FRONTIER,0,36,35,24,17
GREEDY_FRONTIER,0,46,45,26,17
FRONTIER_ASSIST,0,36,35,24,17
SCOUT,0,37,36,28,21
FRONTIER_CENTRAL_GREEDY,0,32,31,26,19
ZONE_SPLIT,0,117,116,33,21
ZONE_VORONOI,0,34,33,27,18
WANDERING,1,530,529,227,120
GREEDY,1,343,342,238,19
FRONTIER,1,40,39,29,18
GREEDY_FRONTIER,1,46,45,32,17
FRONTIER_ASSIST,1,40,39,29,18
SCOUT,1,47,46,31,20
FRONTIER_CENTRAL_GREEDY,1,39,38,26,19
ZONE_SPLIT,1,61,60,32,21
ZONE_VORONOI,1,60,59,27,18
WANDERING,2,806,805,245,107
GREEDY,2,94,93,32,20
FRONTIER,2,37,36,25,18
GREEDY_FRONTIER,2,40,39,27,18
FRONTIER_ASSIST,2,37,36,25,18
SCOUT,2,35,34,24,19
FRONTIER_CENTRAL_GREEDY,2,32,31,24,18
ZONE_SPLIT,2,60,59,29,20
ZONE_VORONOI,2,41,40,27,19
WANDERING,3,1293,1292,365,127
GREEDY,3,113,112,30,19
FRONTIER,3,46,45,34,17
GREEDY_FRONTIER,3,43,42,24,17
FRONTIER_ASSIST,3,46,45,34,17
SCOUT,3,40,39,25,19
FRONTIER_CENTRAL_GREEDY,3,34,33,25,18
ZONE_SPLIT,3,61,60,35,23
ZONE_VORONOI,3,32,31,24,18
WANDERING,4,880,879,382,110
GREEDY,4,259,258,78,44
FRONTIER,4,45,44,32,21
GREEDY_FRONTIER,4,48,47,41,32
FRONTIER_ASSIST,4,45,44,32,21
SCOUT,4,57,56,40,24
FRONTIER_CENTRAL_GREEDY,4,49,48,32,21
ZONE_SPLIT,4,110,109,35,24
ZONE_VORONOI,4,119,118,54,21
WANDERING,5,577,576,304,76
GREEDY,5,167,166,46,19
FRONTIER,5,29,28,23,17
GREEDY_FRONTIER,5,49,48,31,17
FRONTIER_ASSIST,5,29,28,23,17
SCOUT,5,41,40,30,21
FRONTIER_CENTRAL_GREEDY,5,30,29,23,18
ZONE_SPLIT,5,59,58,30,23
ZONE_VORONOI,5,33,32,23,17
WANDERING,6,523,522,150,69
GREEDY,6,153,152,64,29
FRONTIER,6,33,32,22,16
GREEDY_FRONTIER,6,46,45,30,21
FRONTIER_ASSIST,6,33,32,22,16
SCOUT,6,49,48,30,19
FRONTIER_CENTRAL_GREEDY,6,93,92,22,16
ZONE_SPLIT,6,116,115,34,21
ZONE_VORONOI,6,50,49,26,19
WANDERING,7,512,511,211,101
GREEDY,7,75,74,42,17
FRONTIER,7,40,39,29,20
GREEDY_FRONTIER,7,41,40,29,16
FRONTIER_ASSIST,7,40,39,29,20
SCOUT,7,46,45,36,25
FRONTIER_CENTRAL_GREEDY,7,38,37,26,19
ZONE_SPLIT,7,47,46,31,22
ZONE_VORONOI,7,39,38,28,21
WANDERING,8,423,422,133,81
GREEDY,8,491,490,61,23
FRONTIER,8,33,32,23,17
GREEDY_FRONTIER,8,59,58,40,20
FRONTIER_ASSIST,8,33,32,23,17
SCOUT,8,35,34,24,18
FRONTIER_CENTRAL_GREEDY,8,36,35,23,18
ZONE_SPLIT,8,45,44,29,19
ZONE_VORONOI,8,59,58,23,17
WANDERING,9,259,258,113,65
GREEDY,9,273,272,52,18
FRONTIER,9,38,37,27,18
GREEDY_FRONTIER,9,45,44,33,16
FRONTIER_ASSIST,9,40,39,27,18
SCOUT,9,33,32,23,16
FRONTIER_CENTRAL_GREEDY,9,49,48,26,19
ZONE_SPLIT,9,110,109,31,21
