Behaviour,Round,total100,total90,total75,total50
FRONTIER_CENTRAL_GREEDY,14,154,153,110,80
ZONE_SPLIT,14,206,205,123,90
ZONE_VORONOI,14,182,181,132,101
WANDERING,15,-1,-1,1999,1909
GREEDY,15,-1,1999,538,397
FRONTIER,15,131,130,105,87
GREEDY_FRONTIER,15,187,186,161,130
FRONTIER_ASSIST,15,131,130,105,87
SCOUT,15,170,169,116,94
FRONTIER_CENTRAL_GREEDY,15,180,179,103,84
ZONE_SPLIT,15,226,225,120,94
ZONE_VORONOI,15,176,175,136,99
WANDERING,16,-1,-1,1999,624
GREEDY,16,-1,1999,559,331
FRONTIER,16,150,149,110,79
GREEDY_FRONTIER,16,-1,1999,120,82
FRONTIER_ASSIST,16,150,149,110,79
SCOUT,16,167,166,138,82
FRONTIER_CENTRAL_GREEDY,16,143,142,115,79
ZONE_SPLIT,16,191,190,126,92
ZONE_VORONOI,16,143,142,117,82
WANDERING,17,-1,1999,1273,863
GREEDY,17,1332,1331,582,283
FRONTIER,17,151,150,105,79
GREEDY_FRONTIER,17,134,133,101,78
FRONTIER_ASSIST,17,151,150,105,79
SCOUT,17,185,184,103,73
FRONTIER_CENTRAL_GREEDY,17,206,205,104,78
ZONE_SPLIT,17,237,236,135,90
ZONE_VORONOI,17,165,164,130,99
WANDERING,18,-1,1999,1905,946
GREEDY,18,1252,1251,443,341
FRONTIER,18,125,124,102,74
GREEDY_FRONTIER,18,230,229,120,82
FRONTIER_ASSIST,18,125,124,102,74
SCOUT,18,188,187,102,72
FRONTIER_CENTRAL_GREEDY,18,126,125,99,78
ZONE_SPLIT,18,197,196,118,96
ZONE_VORONOI,18,234,233,102,76
WANDERING,19,-1,-1,1999,878
GREEDY,19,1932,1931,611,248
FRONTIER,19,149,148,135,101
GREEDY_FRONTIER,19,188,187,117,79
FRONTIER_ASSIST,19,143,142,123,98
SCOUT,19,143,142,97,78
FRONTIER_CENTRAL_GREEDY,19,124,123,105,84
ZONE_SPLIT,19,240,239,119,82
ZONE_VORONOI,19,158,157,126,91
