Behaviour,Round,total100,total90,total75,total50
GREEDY,15,379,378,86,52
FRONTIER,15,54,53,31,23
GREEDY_FRONTIER,15,51,50,40,32
FRONTIER_ASSIST,15,54,53,31,23
SCOUT,15,54,53,37,27
FRONTIER_CENTRAL_GREEDY,15,41,40,32,24
ZONE_SPLIT,15,155,154,51,30
ZONE_VORONOI,15,50,49,36,26
WANDERING,16,762,761,184,97
GREEDY,16,291,290,44,28
FRONTIER,16,38,37,31,23
GREEDY_FRONTIER,16,49,48,36,27
FRONTIER_ASSIST,16,38,37,31,23
SCOUT,16,52,51,29,22
FRONTIER_CENTRAL_GREEDY,16,42,41,30,22
ZONE_SPLIT,16,72,71,42,31
ZONE_VORONOI,16,45,44,32,23
WANDERING,17,462,461,281,149
GREEDY,17,60,59,38,25
FRONTIER,17,45,44,31,22
GREEDY_FRONTIER,17,43,42,33,24
FRONTIER_ASSIST,17,45,44,31,22
SCOUT,17,68,67,45,28
FRONTIER_CENTRAL_GREEDY,17,43,42,34,28
ZONE_SPLIT,17,82,81,44,29
ZONE_VORONOI,17,47,46,34,22
WANDERING,18,596,595,280,100
GREEDY,18,113,112,71,38
FRONTIER,18,40,39,28,22
GREEDY_FRONTIER,18,54,53,40,33
FRONTIER_ASSIST,18,40,39,28,22
SCOUT,18,46,45,38,26
FRONTIER_CENTRAL_GREEDY,18,47,46,39,26
ZONE_SPLIT,18,77,76,41,30
ZONE_VORONOI,18,47,46,33,24
WANDERING,19,644,643,223,98
GREEDY,19,140,139,98,53
FRONTIER,19,49,48,32,23
GREEDY_FRONTIER,19,45,44,38,32
FRONTIER_ASSIST,19,49,48,32,23
SCOUT,19,62,61,45,33
FRONTIER_CENTRAL_GREEDY,19,59,58,39,25
ZONE_SPLIT,19,100,99,46,28
ZONE_VORONOI,19,48,47,33,25
