Behaviour,Round,total100,total90,total75,total50
WANDERING,0,-1,-1,1999,757
GREEDY,0,1480,1479,1390,1294
FRONTIER,0,178,177,131,111
GREEDY_FRONTIER,0,187,186,141,118
FRONTIER_ASSIST,0,178,177,131,111
SCOUT,0,201,200,143,113
FRONTIER_CENTRAL_GREEDY,0,173,172,127,106
ZONE_SPLIT,0,162,161,131,104
ZONE_VORONOI,0,155,154,126,100
WANDERING,1,-1,-1,1999,1081
GREEDY,1,1679,1678,689,223
FRONTIER,1,292,291,236,136
GREEDY_FRONTIER,1,149,148,126,103
FRONTIER_ASSIST,1,266,265,233,136
SCOUT,1,366,365,339,111
FRONTIER_CENTRAL_GREEDY,1,199,198,184,142
ZONE_SPLIT,1,228,227,151,126
ZONE_VORONOI,1,214,213,184,112
WANDERING,2,-1,-1,1999,1258
GREEDY,2,410,409,249,200
FRONTIER,2,186,185,149,114
GREEDY_FRONTIER,2,170,169,143,104
FRONTIER_ASSIST,2,186,185,149,114
SCOUT,2,189,188,165,124
FRONTIER_CENTRAL_GREEDY,2,170,169,132,113
ZONE_SPLIT,2,207,206,158,118
ZONE_VORONOI,2,172,171,144,120
WANDERING,3,-1,1999,1505,807
GREEDY,3,550,549,485,233
FRONTIER,3,167,166,127,103
GREEDY_FRONTIER,3,175,174,149,108
FRONTIER_ASSIST,3,167,166,127,103
SCOUT,3,197,196,156,122
FRONTIER_CENTRAL_GREEDY,3,165,164,121,99
ZONE_SPLIT,3,238,237,171,122
ZONE_VORONOI,3,181,180,146,114
WANDERING,4,-1,-1,1999,1814
GREEDY,4,1675,1674,1590,298
FRONTIER,4,225,224,205,168
GREEDY_FRONTIER,4,174,173,147,110
FRONTIER_ASSIST,4,265,264,232,185
SCOUT,4,227,226,199,125
FRONTIER_CENTRAL_GREEDY,4,167,166,148,115
ZONE_SPLIT,4,213,212,141,111
ZONE_VORONOI,4,172,171,147,115
WANDERING,5,-1,1999,889,492
GREEDY,5,-1,1999,584,160
FRONTIER,5,267,266,166,100
GREEDY_FRONTIER,5,193,192,152,102
FRONTIER_ASSIST,5,268,267,166,100
SCOUT,5,210,209,155,115
FRONTIER_CENTRAL_GREEDY,5,179,178,145,101
ZONE_SPLIT,5,157,156,131,109
ZONE_VORONOI,5,201,200,137,99
WANDERING,6,-1,-1,1999,1032
GREEDY,6,1633,1632,214,154
FRONTIER,6,204,203,160,114
GREEDY_FRONTIER,6,206,205,165,107
FRONTIER_ASSIST,6,217,216,171,114
SCOUT,6,262,261,208,135
FRONTIER_CENTRAL_GREEDY,6,196,195,161,122
ZONE_SPLIT,6,162,161,133,108
ZONE_VORONOI,6,222,221,159,126
WANDERING,7,-1,-1,1999,632
GREEDY,7,998,997,933,323
FRONTIER,7,217,216,156,114
GREEDY_FRONTIER,7,182,181,143,110
FRONTIER_ASSIST,7,220,219,156,114
SCOUT,7,203,202,154,113
FRONTIER_CENTRAL_GREEDY,7,214,213,197,121
ZONE_SPLIT,7,184,183,139,111
ZONE_VORONOI,7,167,166,135,101
WANDERING,8,-1,1999,1256,773
GREEDY,8,531,530,466,356
FRONTIER,8,220,219,197,117
GREEDY_FRONTIER,8,213,212,189,113
FRONTIER_ASSIST,8,220,219,197,117
SCOUT,8,253,252,188,138
FRONTIER_CENTRAL_GREEDY,8,216,215,196,112
ZONE_SPLIT,8,160,159,131,107
ZONE_VORONOI,8,157,156,133,99
WANDERING,9,-1,1999,1093,591
GREEDY,9,1143,1142,1077,981
FRONTIER,9,195,194,122,99
GREEDY_FRONTIER,9,195,194,168,118
FRONTIER_ASSIST,9,184,183,122,99
SCOUT,9,228,227,164,122
FRONTIER_CENTRAL_GREEDY,9,165,164,121,98
ZONE_SPLIT,9,177,176,124,103
ZONE_VORONOI,9,144,143,120,94
WANDERING,10,-1,1999,1217,788
GREEDY,10,258,257,193,141
FRONTIER,10,179,178,141,101
GREEDY_FRONTIER,10,199,198,174,122
FRONTIER_ASSIST,10,179,178,141,101
SCOUT,10,247,246,216,187
FRONTIER_CENTRAL_GREEDY,10,180,179,153,106
ZONE_SPLIT,10,202,201,149,118
ZONE_VORONOI,10,219,218,155,112
WANDERING,11,-1,1999,1638,728
GREEDY,11,1218,1217,281,161
FRONTIER,11,179,178,141,101
GREEDY_FRONTIER,11,164,163,141,108
FRONTIER_ASSIST,11,179,178,141,101
SCOUT,11,277,276,251,133
FRONTIER_CENTRAL_GREEDY,11,208,207,145,104
ZONE_SPLIT,11,159,158,130,108
ZONE_VORONOI,11,151,150,122,99
WANDERING,12,-1,1999,1154,698
GREEDY,12,-1,-1,-1,1999
FRONTIER,12,213,212,168,127
GREEDY_FRONTIER,12,203,202,183,150
FRONTIER_ASSIST,12,210,209,151,121
SCOUT,12,186,185,152,123
FRONTIER_CENTRAL_GREEDY,12,171,170,143,109
ZONE_SPLIT,12,191,190,134,103
ZONE_VORONOI,12,181,180,156,122
WANDERING,13,-1,1999,1790,1170
GREEDY,13,-1,-1,1999,109
FRONTIER,13,201,200,134,104
GREEDY_FRONTIER,13,198,197,178,109
FRONTIER_ASSIST,13,201,200,134,104
SCOUT,13,280,279,168,109
FRONTIER_CENTRAL_GREEDY,13,199,198,134,104
ZONE_SPLIT,13,159,158,130,106
ZONE_VORONOI,13,169,168,142,110
WANDERING,14,-1,-1,1999,1207
GREEDY,14,1984,1983,342,246
FRONTIER,14,187,186,156,128
GREEDY_FRONTIER,14,199,198,182,160
FRONTIER_ASSIST,14,187,186,156,128
SCOUT,14,218,217,185,146
FRONTIER_CENTRAL_GREEDY,14,171,170,149,122
ZONE_SPLIT,14,210,209,167,115
ZONE_VORONOI,14,182,181,152,127
WANDERING,15,-1,1999,1128,759
GREEDY,15,429,428,364,260
FRONTIER,15,170,169,138,101
GREEDY_FRONTIER,15,161,160,137,108
FRONTIER_ASSIST,15,170,169,138,101
SCOUT,15,416,415,245,206
FRONTIER_CENTRAL_GREEDY,15,155,154,120,101
ZONE_SPLIT,15,193,192,143,115
ZONE_VORONOI,15,172,171,138,103
WANDERING,16,-1,1999,1825,1058
GREEDY,16,-1,1999,835,158
FRONTIER,16,200,199,174,139
GREEDY_FRONTIER,16,221,220,180,104
FRONTIER_ASSIST,16,183,182,164,125
SCOUT,16,244,243,205,142
FRONTIER_CENTRAL_GREEDY,16,169,168,137,114
ZONE_SPLIT,16,171,170,136,110
ZONE_VORONOI,16,194,193,151,124
WANDERING,17,-1,1999,1304,680
GREEDY,17,-1,1999,580,420
FRONTIER,17,170,169,119,99
GREEDY_FRONTIER,17,149,148,126,105
FRONTIER_ASSIST,17,170,169,119,99
SCOUT,17,256,255,194,119
FRONTIER_CENTRAL_GREEDY,17,172,171,120,100
ZONE_SPLIT,17,201,200,127,105
ZONE_VORONOI,17,155,154,118,95
WANDERING,18,-1,1999,1282,775
GREEDY,18,-1,1999,349,247
FRONTIER,18,165,164,137,107
GREEDY_FRONTIER,18,167,166,143,111
FRONTIER_ASSIST,18,165,164,137,107
SCOUT,18,194,193,163,135
FRONTIER_CENTRAL_GREEDY,18,173,172,138,100
ZONE_SPLIT,18,162,161,130,105
ZONE_VORONOI,18,180,179,137,110
WANDERING,19,-1,-1,1999,926
GREEDY,19,-1,-1,-1,1999
FRONTIER,19,165,164,139,114
GREEDY_FRONTIER,19,185,184,140,113
FRONTIER_ASSIST,19,165,164,139,114
SCOUT,19,277,276,250,111
FRONTIER_CENTRAL_GREEDY,19,164,163,149,122
ZONE_SPLIT,19,228,227,193,129
ZONE_VORONOI,19,175,174,134,104
