Behaviour,Round,total100,total90,total75,total50
ZONE_SPLIT,14,194,193,90,58
ZONE_VORONOI,14,81,80,58,40
WANDERING,15,1570,1569,699,433
GREEDY,15,189,188,87,47
FRONTIER,15,74,73,49,38
GREEDY_FRONTIER,15,99,98,51,39
FRONTIER_ASSIST,15,77,76,49,38
SCOUT,15,74,73,54,38
FRONTIER_CENTRAL_GREEDY,15,84,83,49,39
ZONE_SPLIT,15,151,150,90,55
ZONE_VORONOI,15,77,76,58,45
WANDERING,16,-1,1999,826,558
GREEDY,16,256,255,217,48
FRONTIER,16,93,92,69,47
GREEDY_FRONTIER,16,54,53,42,34
FRONTIER_ASSIST,16,93,92,69,47
SCOUT,16,96,95,48,32
FRONTIER_CENTRAL_GREEDY,16,164,163,85,64
ZONE_SPLIT,16,214,213,98,66
ZONE_VORONOI,16,116,115,61,40
WANDERING,17,-1,-1,1999,1358
GREEDY,17,1242,1241,732,174
FRONTIER,17,144,143,103,75
GREEDY_FRONTIER,17,183,182,155,120
FRONTIER_ASSIST,17,144,143,103,75
SCOUT,17,123,122,93,66
FRONTIER_CENTRAL_GREEDY,17,268,267,88,65
ZONE_SPLIT,17,156,155,98,76
ZONE_VORONOI,17,193,192,122,86
WANDERING,18,-1,1999,1561,406
GREEDY,18,384,383,180,62
FRONTIER,18,94,93,64,45
GREEDY_FRONTIER,18,122,121,82,49
FRONTIER_ASSIST,18,94,93,64,45
SCOUT,18,132,131,96,47
FRONTIER_CENTRAL_GREEDY,18,100,99,61,44
ZONE_SPLIT,18,191,190,106,72
ZONE_VORONOI,18,151,150,102,40
WANDERING,19,-1,1999,1532,788
GREEDY,19,447,446,117,73
FRONTIER,19,91,90,66,52
GREEDY_FRONTIER,19,126,125,78,47
FRONTIER_ASSIST,19,91,90,66,52
SCOUT,19,88,87,69,54
FRONTIER_CENTRAL_GREEDY,19,178,177,149,54
ZONE_SPLIT,19,-1,1999,98,54
ZONE_VORONOI,19,88,87,63,49
