Episode 115, Total Reward: 113.0, Epsilon: 0.506
Episode 116, Total Reward: 156.0, Epsilon: 0.503
Episode 117, Total Reward: 145.0, Epsilon: 0.501
Episode 118, Total Reward: 193.0, Epsilon: 0.498
Episode 119, Total Reward: 90.5, Epsilon: 0.496
Episode 120, Total Reward: 185.5, Epsilon: 0.493
Episode 121, Total Reward: 159.0, Epsilon: 0.491
Episode 122, Total Reward: 148.0, Epsilon: 0.488
Episode 123, Total Reward: 147.0, Epsilon: 0.486
Episode 124, Total Reward: 169.0, Epsilon: 0.483
Episode 125, Total Reward: 171.0, Epsilon: 0.481
Episode 126, Total Reward: 192.5, Epsilon: 0.479
Episode 127, Total Reward: 176.5, Epsilon: 0.476
Episode 128, Total Reward: 169.0, Epsilon: 0.474
Episode 129, Total Reward: 181.5, Epsilon: 0.471
Episode 130, Total Reward: 175.0, Epsilon: 0.469
Episode 131, Total Reward: 185.5, Epsilon: 0.467
Episode 132, Total Reward: 109.5, Epsilon: 0.464
Episode 133, Total Reward: 159.0, Epsilon: 0.462
Episode 134, Total Reward: 171.5, Epsilon: 0.460
Episode 135, Total Reward: 148.0, Epsilon: 0.457
Episode 136, Total Reward: 195.0, Epsilon: 0.455
Episode 137, Total Reward: 190.0, Epsilon: 0.453
Episode 138, Total Reward: 170.5, Epsilon: 0.451
Episode 139, Total Reward: 127.0, Epsilon: 0.448
Episode 140, Total Reward: 170.0, Epsilon: 0.446
Episode 141, Total Reward: 148.0, Epsilon: 0.444
Episode 142, Total Reward: 183.5, Epsilon: 0.442
Episode 143, Total Reward: 167.5, Epsilon: 0.439
Episode 144, Total Reward: 165.5, Epsilon: 0.437
Episode 145, Total Reward: 172.5, Epsilon: 0.435
Episode 146, Total Reward: 183.0, Epsilon: 0.433
Episode 147, Total Reward: 170.5, Epsilon: 0.431
Episode 148, Total Reward: 182.0, Epsilon: 0.429
Episode 149, Total Reward: 133.5, Epsilon: 0.426
Episode 150, Total Reward: 97.0, Epsilon: 0.424
Episode 151, Total Reward: 184.5, Epsilon: 0.422
Episode 152, Total Reward: 179.0, Epsilon: 0.420
Episode 153, Total Reward: 183.0, Epsilon: 0.418
Episode 154, Total Reward: 181.5, Epsilon: 0.416
Episode 155, Total Reward: 177.0, Epsilon: 0.414
Episode 156, Total Reward: 171.0, Epsilon: 0.412
Episode 157, Total Reward: 172.5, Epsilon: 0.410
Episode 158, Total Reward: 190.5, Epsilon: 0.408
Episode 159, Total Reward: 180.0, Epsilon: 0.406
Episode 160, Total Reward: 154.5, Epsilon: 0.404
Episode 161, Total Reward: 181.0, Epsilon: 0.402
Episode 162, Total Reward: 192.0, Epsilon: 0.400
Episode 163, Total Reward: 158.5, Epsilon: 0.398
Episode 164, Total Reward: 183.0, Epsilon: 0.396
Episode 165, Total Reward: 177.5, Epsilon: 0.394
Episode 166, Total Reward: 193.0, Epsilon: 0.392
Episode 167, Total Reward: 182.0, Epsilon: 0.390
Episode 168, Total Reward: 180.5, Epsilon: 0.388
Episode 169, Total Reward: 158.0, Epsilon: 0.386
Episode 170, Total Reward: 158.0, Epsilon: 0.384
Episode 171, Total Reward: 183.5, Epsilon: 0.382
Episode 172, Total Reward: 185.5, Epsilon: 0.380
Episode 173, Total Reward: 183.5, Epsilon: 0.378
Episode 174, Total Reward: 193.5, Epsilon: 0.376
Episode 175, Total Reward: 196, Epsilon: 0.374
Episode 176, Total Reward: 183.5, Epsilon: 0.372
Episode 177, Total Reward: 172.5, Epsilon: 0.371
Episode 178, Total Reward: 178.5, Epsilon: 0.369
Episode 179, Total Reward: 168.0, Epsilon: 0.367
Episode 180, Total Reward: 147.0, Epsilon: 0.365
Episode 181, Total Reward: 195.5, Epsilon: 0.363
Episode 182, Total Reward: 196, Epsilon: 0.361
Episode 183, Total Reward: 183.0, Epsilon: 0.360
Episode 184, Total Reward: 183.0, Epsilon: 0.358
Episode 185, Total Reward: 179.0, Epsilon: 0.356
Episode 186, Total Reward: 181.5, Epsilon: 0.354
Episode 187, Total Reward: 153.0, Epsilon: 0.352
Episode 188, Total Reward: 192.0, Epsilon: 0.351
Episode 189, Total Reward: 170.5, Epsilon: 0.349
Episode 190, Total Reward: 193.5, Epsilon: 0.347
Episode 191, Total Reward: 183.0, Epsilon: 0.346
Episode 192, Total Reward: 175.0, Epsilon: 0.344
Episode 193, Total Reward: 158.0, Epsilon: 0.342
Episode 194, Total Reward: 140.0, Epsilon: 0.340
Episode 195, Total Reward: 182.5, Epsilon: 0.339
Episode 196, Total Reward: 171.0, Epsilon: 0.337
Episode 197, Total Reward: 184.0, Epsilon: 0.335
Episode 198, Total Reward: 179.0, Epsilon: 0.334
Episode 199, Total Reward: 172.0, Epsilon: 0.332
Episode 200, Total Reward: 190.5, Epsilon: 0.330
Episode 201, Total Reward: 191.5, Epsilon: 0.329
Episode 202, Total Reward: 183.5, Epsilon: 0.327
Episode 203, Total Reward: 184.5, Epsilon: 0.325
Episode 204, Total Reward: 183.0, Epsilon: 0.324
Episode 205, Total Reward: 196, Epsilon: 0.322
Episode 206, Total Reward: 196, Epsilon: 0.320
Episode 207, Total Reward: 164.5, Epsilon: 0.319
Episode 208, Total Reward: 112.5, Epsilon: 0.317
Episode 209, Total Reward: 184.0, Epsilon: 0.316
Episode 210, Total Reward: 169.5, Epsilon: 0.314
Episode 211, Total Reward: 181.5, Epsilon: 0.313
Episode 212, Total Reward: 194.0, Epsilon: 0.311
Episode 213, Total Reward: 170.0, Epsilon: 0.309
Episode 214, Total Reward: 170.5, Epsilon: 0.308
Episode 215, Total Reward: 172.5, Epsilon: 0.306
Episode 216, Total Reward: 117.0, Epsilon: 0.305
Episode 217, Total Reward: 158.0, Epsilon: 0.303
Episode 218, Total Reward: 183.5, Epsilon: 0.302
Episode 219, Total Reward: 194.5, Epsilon: 0.300
Episode 220, Total Reward: 193.5, Epsilon: 0.299
Episode 221, Total Reward: 194.5, Epsilon: 0.297
Episode 222, Total Reward: 191.0, Epsilon: 0.296
Episode 223, Total Reward: 172.5, Epsilon: 0.294
Episode 224, Total Reward: 127.0, Epsilon: 0.293
Episode 225, Total Reward: 185.5, Epsilon: 0.291
Episode 226, Total Reward: 149.5, Epsilon: 0.290
Episode 227, Total Reward: 175.0, Epsilon: 0.288
Episode 228, Total Reward: 195.0, Epsilon: 0.287
Episode 229, Total Reward: 166.5, Epsilon: 0.286
Episode 230, Total Reward: 194.5, Epsilon: 0.284
Episode 231, Total Reward: 194.5, Epsilon: 0.283
Episode 232, Total Reward: 194.0, Epsilon: 0.281
Episode 233, Total Reward: 195.0, Epsilon: 0.280
Episode 234, Total Reward: 172.5, Epsilon: 0.279
Episode 235, Total Reward: 196, Epsilon: 0.277
Episode 236, Total Reward: 174.0, Epsilon: 0.276
Episode 237, Total Reward: 193.5, Epsilon: 0.274
Episode 238, Total Reward: 178.5, Epsilon: 0.273
Episode 239, Total Reward: 166.5, Epsilon: 0.272
Episode 240, Total Reward: 140.0, Epsilon: 0.270
Episode 241, Total Reward: 163.0, Epsilon: 0.269
Episode 242, Total Reward: 153.0, Epsilon: 0.268
Episode 243, Total Reward: 195.0, Epsilon: 0.266
Episode 244, Total Reward: 175.0, Epsilon: 0.265
Episode 245, Total Reward: 171.5, Epsilon: 0.264
Episode 246, Total Reward: 178.5, Epsilon: 0.262
Episode 247, Total Reward: 169.5, Epsilon: 0.261
Episode 248, Total Reward: 182.0, Epsilon: 0.260
Episode 249, Total Reward: 191, Epsilon: 0.258
Episode 250, Total Reward: 195.0, Epsilon: 0.257
Episode 251, Total Reward: 193.0, Epsilon: 0.256
Episode 252, Total Reward: 185.5, Epsilon: 0.254
Episode 253, Total Reward: 190.0, Epsilon: 0.253
Episode 254, Total Reward: 191.0, Epsilon: 0.252
Episode 255, Total Reward: 196, Epsilon: 0.251
Episode 256, Total Reward: 131.0, Epsilon: 0.249
Episode 257, Total Reward: 172.5, Epsilon: 0.248
Episode 258, Total Reward: 151.5, Epsilon: 0.247
Episode 259, Total Reward: 192.0, Epsilon: 0.246
Episode 260, Total Reward: 194.5, Epsilon: 0.244
Episode 261, Total Reward: 184.0, Epsilon: 0.243
Episode 262, Total Reward: 2.5, Epsilon: 0.242
Episode 263, Total Reward: 195.0, Epsilon: 0.241
Episode 264, Total Reward: 183.0, Epsilon: 0.240
Episode 265, Total Reward: 193.0, Epsilon: 0.238
Episode 266, Total Reward: 194.5, Epsilon: 0.237
Episode 267, Total Reward: 185.0, Epsilon: 0.236
Episode 268, Total Reward: 111.5, Epsilon: 0.235
