,Behaviour,Round,total100,total90,total75,total50
49,FRONTIER_ASSIST,5,0.03234686854783207,0.031658637302133516,0.024088093599449415,0.018582243633860976
50,SCOUT,5,0.035788024776324846,0.03509979353062629,0.026841018582243633,0.01995870612525809
51,FRONTIER_CENTRAL_GREEDY,5,0.043358568479008944,0.042670337233310394,0.02477632484514797,0.01995870612525809
52,ZONE_SPLIT,5,0.03922918100481762,0.038540949759119064,0.029593943565037854,0.02202339986235375
53,ZONE_VORONOI,5,0.03509979353062629,0.034411562284927734,0.02477632484514797,0.018582243633860976
54,WANDERING,6,0.622849277357192,0.6221610461114935,0.13626978664831382,0.09635237439779766
55,GREEDY,6,0.07088781830695114,0.07019958706125258,0.05024088093599449,0.028217481073640742
56,FRONTIER,6,0.03716448726772195,0.0364762560220234,0.02477632484514797,0.018582243633860976
57,GREEDY_FRONTIER,6,0.03303509979353063,0.03234686854783207,0.02477632484514797,0.01995870612525809
58,FRONTIER_ASSIST,6,0.03716448726772195,0.0364762560220234,0.02477632484514797,0.018582243633860976
59,SCOUT,6,0.04129387474191328,0.040605643496214726,0.026841018582243633,0.01995870612525809
60,FRONTIER_CENTRAL_GREEDY,6,0.03234686854783207,0.031658637302133516,0.025464556090846524,0.01995870612525809
61,ZONE_SPLIT,6,0.06125258086717137,0.060564349621472814,0.030282174810736407,0.02202339986235375
62,ZONE_VORONOI,6,0.06675843083275981,0.06607019958706126,0.02752924982794219,0.01995870612525809
63,WANDERING,7,0.4969029593943565,0.49621472814865797,0.12869924294562973,0.07364074328974536
64,GREEDY,7,0.06951135581555402,0.06882312456985547,0.03303509979353063,0.022711631108052306
65,FRONTIER,7,0.03509979353062629,0.034411562284927734,0.024088093599449415,0.018582243633860976
66,GREEDY_FRONTIER,7,0.03509979353062629,0.034411562284927734,0.02615278733654508,0.01995870612525809
67,FRONTIER_ASSIST,7,0.03509979353062629,0.034411562284927734,0.024088093599449415,0.018582243633860976
68,SCOUT,7,0.0364762560220234,0.035788024776324846,0.026841018582243633,0.02064693737095664
69,FRONTIER_CENTRAL_GREEDY,7,0.04129387474191328,0.040605643496214726,0.02339986235375086,0.018582243633860976
70,ZONE_SPLIT,7,0.038540949759119064,0.03785271851342051,0.028905712319339298,0.022711631108052306
