Method,50%,75%,90%,100%
WANDERING,100.00,97.78,88.70,51.85
GREEDY,100.00,99.44,98.15,88.52
FRONTIER,100.00,100.00,100.00,98.70
GREEDY_FRONTIER,100.00,100.00,100.00,97.04
FRONTIER_ASSIST,100.00,100.00,100.00,98.89
SCOUT,100.00,99.81,99.81,99.07
FRONTIER_CENTRAL_GREEDY,100.00,100.00,100.00,91.85
ZONE_SPLIT,100.00,100.00,99.26,92.22
ZONE_VORONOI,100.00,100.00,100.00,100.00
