num,layout,Method,Coverage 50%,Coverage 75%,Coverage 90%,Coverage 100%
15,HOUSE,ZONE_SPLIT,100.00%,100.00%,99.38%,90.00%
15,HOUSE,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
15,CAVE,WANDERING,100.00%,100.00%,99.44%,78.89%
15,CAVE,GREEDY,100.00%,100.00%,100.00%,97.22%
15,CAVE,FRONTIER,100.00%,100.00%,100.00%,97.78%
15,CAVE,GREEDY_FRONTIER,100.00%,100.00%,100.00%,97.22%
15,CAVE,FRONTIER_ASSIST,100.00%,100.00%,100.00%,98.33%
15,CAVE,SCOUT,100.00%,100.00%,100.00%,98.33%
15,CAVE,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,87.78%
15,CAVE,ZONE_SPLIT,100.00%,100.00%,99.44%,87.22%
15,CAVE,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
10,PLAIN,WANDERING,100.00%,100.00%,99.50%,79.50%
10,PLAIN,GREEDY,100.00%,100.00%,100.00%,97.50%
10,PLAIN,FRONTIER,100.00%,100.00%,100.00%,98.00%
10,PLAIN,GREEDY_FRONTIER,100.00%,100.00%,100.00%,97.50%
10,PLAIN,FRONTIER_ASSIST,100.00%,100.00%,100.00%,98.50%
10,PLAIN,SCOUT,100.00%,100.00%,100.00%,98.50%
10,PLAIN,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,89.00%
10,PLAIN,ZONE_SPLIT,100.00%,100.00%,99.50%,88.50%
10,PLAIN,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
10,OBSTACLES,WANDERING,100.00%,100.00%,99.55%,78.18%
10,OBSTACLES,GREEDY,100.00%,100.00%,100.00%,97.73%
10,OBSTACLES,FRONTIER,100.00%,100.00%,100.00%,98.18%
10,OBSTACLES,GREEDY_FRONTIER,100.00%,100.00%,100.00%,97.73%
10,OBSTACLES,FRONTIER_ASSIST,100.00%,100.00%,100.00%,98.64%
10,OBSTACLES,SCOUT,100.00%,100.00%,100.00%,98.64%
10,OBSTACLES,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,89.55%
10,OBSTACLES,ZONE_SPLIT,100.00%,100.00%,99.09%,88.18%
10,OBSTACLES,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
10,MAZE,WANDERING,100.00%,100.00%,98.75%,74.17%
10,MAZE,GREEDY,100.00%,100.00%,99.58%,96.25%
10,MAZE,FRONTIER,100.00%,100.00%,100.00%,98.33%
10,MAZE,GREEDY_FRONTIER,100.00%,100.00%,100.00%,97.92%
10,MAZE,FRONTIER_ASSIST,100.00%,100.00%,100.00%,98.75%
10,MAZE,SCOUT,100.00%,100.00%,100.00%,98.75%
10,MAZE,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,90.00%
10,MAZE,ZONE_SPLIT,100.00%,100.00%,99.17%,88.33%
