Behaviour,Round,total100,total90,total75,total50
WANDERING,0,876,875,448,229
GREEDY,0,273,272,152,67
FRONTIER,0,67,66,46,34
GREEDY_FRONTIER,0,72,71,52,39
FRONTIER_ASSIST,0,67,66,46,34
SCOUT,0,79,78,57,43
FRONTIER_CENTRAL_GREEDY,0,66,65,44,34
ZONE_SPLIT,0,138,137,98,67
ZONE_VORONOI,0,69,68,48,36
WANDERING,1,1095,1094,357,202
GREEDY,1,156,155,107,55
FRONTIER,1,73,72,50,36
GREEDY_FRONTIER,1,83,82,62,45
FRONTIER_ASSIST,1,73,72,50,36
SCOUT,1,110,109,66,44
FRONTIER_CENTRAL_GREEDY,1,91,90,49,37
ZONE_SPLIT,1,-1,1999,70,56
ZONE_VORONOI,1,75,74,50,39
WANDERING,2,1020,1019,486,260
GREEDY,2,555,554,61,42
FRONTIER,2,65,64,51,39
GREEDY_FRONTIER,2,75,74,51,37
FRONTIER_ASSIST,2,65,64,51,39
SCOUT,2,138,137,79,52
FRONTIER_CENTRAL_GREEDY,2,73,72,45,36
ZONE_SPLIT,2,143,142,73,58
ZONE_VORONOI,2,103,102,58,43
WANDERING,3,1946,1945,937,236
GREEDY,3,507,506,132,69
FRONTIER,3,77,76,57,41
GREEDY_FRONTIER,3,76,75,55,36
FRONTIER_ASSIST,3,77,76,57,41
SCOUT,3,98,97,67,50
FRONTIER_CENTRAL_GREEDY,3,81,80,58,41
ZONE_SPLIT,3,192,191,104,63
ZONE_VORONOI,3,71,70,50,38
WANDERING,4,1255,1254,689,240
GREEDY,4,396,395,153,91
FRONTIER,4,72,71,58,37
GREEDY_FRONTIER,4,174,173,54,42
FRONTIER_ASSIST,4,81,80,58,37
SCOUT,4,83,82,70,45
FRONTIER_CENTRAL_GREEDY,4,66,65,44,34
ZONE_SPLIT,4,190,189,163,98
ZONE_VORONOI,4,90,89,54,39
WANDERING,5,1041,1040,329,236
GREEDY,5,1420,1419,475,64
FRONTIER,5,75,74,47,34
GREEDY_FRONTIER,5,81,80,64,46
FRONTIER_ASSIST,5,75,74,47,34
SCOUT,5,91,90,61,40
FRONTIER_CENTRAL_GREEDY,5,91,90,47,33
ZONE_SPLIT,5,1328,1327,112,70
ZONE_VORONOI,5,70,69,44,35
WANDERING,6,1433,1432,659,253
GREEDY,6,799,798,228,64
FRONTIER,6,92,91,50,37
GREEDY_FRONTIER,6,75,74,56,40
FRONTIER_ASSIST,6,92,91,50,37
SCOUT,6,84,83,61,40
FRONTIER_CENTRAL_GREEDY,6,140,139,50,36
ZONE_SPLIT,6,119,118,83,72
ZONE_VORONOI,6,76,75,50,39
WANDERING,7,-1,1999,447,279
GREEDY,7,141,140,108,69
FRONTIER,7,63,62,49,35
GREEDY_FRONTIER,7,75,74,52,40
FRONTIER_ASSIST,7,63,62,49,35
SCOUT,7,83,82,59,35
FRONTIER_CENTRAL_GREEDY,7,61,60,49,35
ZONE_SPLIT,7,119,118,86,61
ZONE_VORONOI,7,78,77,48,37
WANDERING,8,-1,1999,348,228
GREEDY,8,202,201,84,62
FRONTIER,8,78,77,58,40
GREEDY_FRONTIER,8,70,69,59,44
FRONTIER_ASSIST,8,82,81,55,39
SCOUT,8,165,164,128,55
FRONTIER_CENTRAL_GREEDY,8,70,69,57,42
ZONE_SPLIT,8,135,134,94,57
ZONE_VORONOI,8,81,80,53,38
WANDERING,9,1238,1237,717,331
GREEDY,9,571,570,188,106
FRONTIER,9,73,72,55,40
GREEDY_FRONTIER,9,91,90,59,43
FRONTIER_ASSIST,9,73,72,55,40
SCOUT,9,97,96,77,52
FRONTIER_CENTRAL_GREEDY,9,68,67,56,38
ZONE_SPLIT,9,168,167,96,59
ZONE_VORONOI,9,89,88,64,44
WANDERING,10,-1,1999,929,246
GREEDY,10,437,436,306,56
FRONTIER,10,73,72,43,35
GREEDY_FRONTIER,10,81,80,59,41
FRONTIER_ASSIST,10,73,72,43,35
SCOUT,10,106,105,63,44
FRONTIER_CENTRAL_GREEDY,10,82,81,46,37
ZONE_SPLIT,10,135,134,97,58
ZONE_VORONOI,10,73,72,50,36
WANDERING,11,1233,1232,535,279
GREEDY,11,219,218,176,105
FRONTIER,11,63,62,49,36
GREEDY_FRONTIER,11,75,74,59,47
FRONTIER_ASSIST,11,63,62,49,36
SCOUT,11,100,99,81,46
FRONTIER_CENTRAL_GREEDY,11,79,78,52,38
ZONE_SPLIT,11,193,192,85,60
ZONE_VORONOI,11,102,101,55,43
WANDERING,12,981,980,348,196
GREEDY,12,285,284,239,86
FRONTIER,12,66,65,47,35
GREEDY_FRONTIER,12,108,107,48,36
FRONTIER_ASSIST,12,66,65,47,35
SCOUT,12,63,62,50,40
FRONTIER_CENTRAL_GREEDY,12,65,64,52,33
ZONE_SPLIT,12,141,140,103,71
ZONE_VORONOI,12,65,64,48,36
WANDERING,13,-1,1999,715,420
