Behaviour,Round,total100,total90,total75,total50
FRONTIER,17,52,51,33,22
GREEDY_FRONTIER,17,53,52,36,23
FRONTIER_ASSIST,17,52,51,33,22
SCOUT,17,52,51,37,27
FRONTIER_CENTRAL_GREEDY,17,51,50,36,25
ZONE_SPLIT,17,212,211,105,53
ZONE_VORONOI,17,54,53,32,22
WANDERING,18,958,957,413,232
GREEDY,18,199,198,41,29
FRONTIER,18,61,60,49,27
GREEDY_FRONTIER,18,53,52,39,26
FRONTIER_ASSIST,18,61,60,49,27
SCOUT,18,67,66,48,27
FRONTIER_CENTRAL_GREEDY,18,62,61,48,25
ZONE_SPLIT,18,109,108,65,45
ZONE_VORONOI,18,107,106,78,34
WANDERING,19,939,938,204,112
GREEDY,19,248,247,59,29
FRONTIER,19,57,56,33,22
GREEDY_FRONTIER,19,50,49,35,25
FRONTIER_ASSIST,19,57,56,33,22
SCOUT,19,66,65,41,26
FRONTIER_CENTRAL_GREEDY,19,49,48,34,24
ZONE_SPLIT,19,587,586,195,72
ZONE_VORONOI,19,53,52,32,25
