Behaviour,Round,total100,total90,total75,total50
FRONTIER_CENTRAL_GREEDY,14,71,70,34,27
ZONE_SPLIT,14,-1,1999,114,46
ZONE_VORONOI,14,65,64,42,30
WANDERING,15,1843,1842,660,266
GREEDY,15,1441,1440,150,85
FRONTIER,15,63,62,44,23
GREEDY_FRONTIER,15,-1,1999,54,28
FRONTIER_ASSIST,15,63,62,44,23
SCOUT,15,69,68,43,27
FRONTIER_CENTRAL_GREEDY,15,-1,1999,34,25
ZONE_SPLIT,15,-1,1999,109,58
ZONE_VORONOI,15,68,67,38,27
WANDERING,16,-1,1999,704,414
GREEDY,16,1099,1098,131,90
FRONTIER,16,95,94,56,30
GREEDY_FRONTIER,16,108,107,74,31
FRONTIER_ASSIST,16,95,94,56,30
SCOUT,16,126,125,61,29
FRONTIER_CENTRAL_GREEDY,16,-1,1999,52,26
ZONE_SPLIT,16,288,287,124,78
ZONE_VORONOI,16,165,164,59,33
WANDERING,17,-1,1999,338,182
GREEDY,17,340,339,173,53
FRONTIER,17,68,67,45,31
GREEDY_FRONTIER,17,93,92,37,29
FRONTIER_ASSIST,17,68,67,45,31
SCOUT,17,133,132,85,33
FRONTIER_CENTRAL_GREEDY,17,94,93,34,26
ZONE_SPLIT,17,249,248,154,85
ZONE_VORONOI,17,61,60,42,26
WANDERING,18,-1,1999,729,196
GREEDY,18,753,752,134,63
FRONTIER,18,-1,1999,35,24
GREEDY_FRONTIER,18,85,84,47,27
FRONTIER_ASSIST,18,-1,1999,35,24
SCOUT,18,-1,1999,47,34
FRONTIER_CENTRAL_GREEDY,18,-1,1999,35,24
ZONE_SPLIT,18,160,159,88,49
ZONE_VORONOI,18,60,59,43,29
WANDERING,19,1321,1320,547,208
GREEDY,19,444,443,180,77
FRONTIER,19,71,70,53,30
GREEDY_FRONTIER,19,113,112,49,34
FRONTIER_ASSIST,19,71,70,52,30
SCOUT,19,68,67,42,29
FRONTIER_CENTRAL_GREEDY,19,55,54,39,27
ZONE_SPLIT,19,209,208,110,64
ZONE_VORONOI,19,82,81,47,28
