Behaviour,Round,total100,total90,total75,total50
WANDERING,0,409,408,100,63
GREEDY,0,47,46,23,15
FRONTIER,0,31,30,21,14
GREEDY_FRONTIER,0,40,39,24,15
FRONTIER_ASSIST,0,31,30,21,14
SCOUT,0,30,29,22,16
FRONTIER_CENTRAL_GREEDY,0,32,31,20,15
ZONE_SPLIT,0,77,76,31,20
ZONE_VORONOI,0,32,31,22,16
WANDERING,1,327,326,120,69
GREEDY,1,126,125,39,20
FRONTIER,1,34,33,26,15
GREEDY_FRONTIER,1,39,38,32,22
FRONTIER_ASSIST,1,40,39,26,15
SCOUT,1,36,35,22,15
FRONTIER_CENTRAL_GREEDY,1,85,84,20,16
ZONE_SPLIT,1,126,125,43,23
ZONE_VORONOI,1,37,36,24,16
WANDERING,2,251,250,118,80
GREEDY,2,88,87,24,15
FRONTIER,2,32,31,25,16
GREEDY_FRONTIER,2,31,30,21,14
FRONTIER_ASSIST,2,32,31,25,16
SCOUT,2,35,34,25,16
FRONTIER_CENTRAL_GREEDY,2,36,35,30,19
ZONE_SPLIT,2,95,94,49,22
ZONE_VORONOI,2,41,40,26,19
WANDERING,3,267,266,98,55
GREEDY,3,104,103,42,18
FRONTIER,3,26,25,21,16
GREEDY_FRONTIER,3,29,28,23,16
FRONTIER_ASSIST,3,26,25,21,16
SCOUT,3,36,35,25,17
FRONTIER_CENTRAL_GREEDY,3,40,39,26,17
ZONE_SPLIT,3,116,115,42,22
ZONE_VORONOI,3,35,34,23,15
WANDERING,4,269,268,114,63
GREEDY,4,49,48,35,24
FRONTIER,4,28,27,21,14
GREEDY_FRONTIER,4,37,36,27,18
FRONTIER_ASSIST,4,28,27,21,14
SCOUT,4,32,31,22,16
FRONTIER_CENTRAL_GREEDY,4,74,73,23,15
ZONE_SPLIT,4,56,55,45,25
ZONE_VORONOI,4,33,32,23,16
WANDERING,5,499,498,145,65
GREEDY,5,189,188,42,16
FRONTIER,5,29,28,20,14
GREEDY_FRONTIER,5,34,33,23,15
FRONTIER_ASSIST,5,29,28,20,14
SCOUT,5,34,33,22,16
FRONTIER_CENTRAL_GREEDY,5,30,29,24,17
ZONE_SPLIT,5,-1,1999,41,22
ZONE_VORONOI,5,34,33,23,16
WANDERING,6,319,318,109,62
GREEDY,6,66,65,43,20
FRONTIER,6,31,30,23,16
GREEDY_FRONTIER,6,35,34,28,18
FRONTIER_ASSIST,6,31,30,23,16
SCOUT,6,38,37,28,19
FRONTIER_CENTRAL_GREEDY,6,141,140,19,15
ZONE_SPLIT,6,196,195,41,22
ZONE_VORONOI,6,33,32,23,16
WANDERING,7,632,631,183,65
GREEDY,7,69,68,28,18
FRONTIER,7,30,29,20,15
GREEDY_FRONTIER,7,37,36,26,17
FRONTIER_ASSIST,7,30,29,20,15
SCOUT,7,36,35,26,17
FRONTIER_CENTRAL_GREEDY,7,30,29,20,15
ZONE_SPLIT,7,79,78,39,22
ZONE_VORONOI,7,36,35,26,17
WANDERING,8,411,410,144,70
GREEDY,8,65,64,47,27
FRONTIER,8,31,30,23,14
GREEDY_FRONTIER,8,34,33,26,21
FRONTIER_ASSIST,8,31,30,23,14
SCOUT,8,38,37,22,14
FRONTIER_CENTRAL_GREEDY,8,35,34,28,15
ZONE_SPLIT,8,117,116,39,20
ZONE_VORONOI,8,37,36,28,18
WANDERING,9,460,459,103,67
GREEDY,9,64,63,47,23
FRONTIER,9,35,34,25,15
GREEDY_FRONTIER,9,33,32,26,18
FRONTIER_ASSIST,9,35,34,25,15
SCOUT,9,34,33,23,17
FRONTIER_CENTRAL_GREEDY,9,29,28,21,16
ZONE_SPLIT,9,147,146,38,21
ZONE_VORONOI,9,34,33,26,18
WANDERING,10,382,381,137,69
GREEDY,10,90,89,25,16
FRONTIER,10,29,28,21,15
GREEDY_FRONTIER,10,35,34,22,14
FRONTIER_ASSIST,10,29,28,21,15
SCOUT,10,33,32,23,15
FRONTIER_CENTRAL_GREEDY,10,42,41,21,17
ZONE_SPLIT,10,112,111,54,20
ZONE_VORONOI,10,30,29,21,14
WANDERING,11,320,319,144,64
GREEDY,11,97,96,77,29
FRONTIER,11,27,26,19,15
GREEDY_FRONTIER,11,39,38,31,18
FRONTIER_ASSIST,11,27,26,19,15
SCOUT,11,36,35,23,17
FRONTIER_CENTRAL_GREEDY,11,30,29,21,16
ZONE_SPLIT,11,60,59,32,23
ZONE_VORONOI,11,34,33,23,17
WANDERING,12,512,511,167,91
GREEDY,12,107,106,25,15
FRONTIER,12,28,27,19,14
GREEDY_FRONTIER,12,30,29,21,14
FRONTIER_ASSIST,12,28,27,19,14
SCOUT,12,29,28,20,15
FRONTIER_CENTRAL_GREEDY,12,34,33,20,15
ZONE_SPLIT,12,101,100,35,21
ZONE_VORONOI,12,39,38,25,14
WANDERING,13,438,437,133,78
GREEDY,13,329,328,28,15
FRONTIER,13,50,49,20,15
GREEDY_FRONTIER,13,31,30,22,14
FRONTIER_ASSIST,13,39,38,20,15
SCOUT,13,32,31,21,15
FRONTIER_CENTRAL_GREEDY,13,33,32,22,16
ZONE_SPLIT,13,240,239,30,20
ZONE_VORONOI,13,34,33,20,14
WANDERING,14,812,811,167,88
GREEDY,14,80,79,55,31
FRONTIER,14,37,36,26,19
GREEDY_FRONTIER,14,34,33,28,22
FRONTIER_ASSIST,14,34,33,27,19
SCOUT,14,39,38,27,18
FRONTIER_CENTRAL_GREEDY,14,36,35,27,20
ZONE_SPLIT,14,-1,1999,31,22
ZONE_VORONOI,14,50,49,34,23
WANDERING,15,451,450,114,61
GREEDY,15,252,251,47,17
FRONTIER,15,30,29,20,14
GREEDY_FRONTIER,15,41,40,32,16
FRONTIER_ASSIST,15,30,29,20,14
SCOUT,15,38,37,24,16
FRONTIER_CENTRAL_GREEDY,15,97,96,20,15
ZONE_SPLIT,15,90,89,28,20
ZONE_VORONOI,15,34,33,21,15
WANDERING,16,342,341,111,58
GREEDY,16,62,61,35,18
FRONTIER,16,27,26,18,13
GREEDY_FRONTIER,16,36,35,22,15
FRONTIER_ASSIST,16,27,26,18,13
SCOUT,16,31,30,23,17
FRONTIER_CENTRAL_GREEDY,16,31,30,22,15
ZONE_SPLIT,16,200,199,53,25
ZONE_VORONOI,16,35,34,21,14
WANDERING,17,279,278,123,60
GREEDY,17,73,72,55,27
FRONTIER,17,26,25,20,16
GREEDY_FRONTIER,17,40,39,32,21
FRONTIER_ASSIST,17,26,25,20,16
SCOUT,17,36,35,25,17
FRONTIER_CENTRAL_GREEDY,17,31,30,20,15
ZONE_SPLIT,17,102,101,40,22
ZONE_VORONOI,17,30,29,23,17
WANDERING,18,377,376,169,93
GREEDY,18,80,79,55,30
FRONTIER,18,26,25,18,14
GREEDY_FRONTIER,18,37,36,25,17
FRONTIER_ASSIST,18,26,25,18,14
SCOUT,18,34,33,23,15
FRONTIER_CENTRAL_GREEDY,18,25,24,19,15
ZONE_SPLIT,18,360,359,36,26
ZONE_VORONOI,18,31,30,23,17
WANDERING,19,433,432,117,79
GREEDY,19,53,52,38,19
FRONTIER,19,31,30,22,14
GREEDY_FRONTIER,19,37,36,28,19
FRONTIER_ASSIST,19,31,30,22,14
SCOUT,19,40,39,24,15
FRONTIER_CENTRAL_GREEDY,19,32,31,21,15
ZONE_SPLIT,19,223,222,37,20
ZONE_VORONOI,19,34,33,23,16
