Behaviour,Round,total100,total90,total75,total50
WANDERING,15,1190,1189,949,332
GREEDY,15,404,403,120,51
FRONTIER,15,75,74,58,45
GREEDY_FRONTIER,15,95,94,71,44
FRONTIER_ASSIST,15,87,86,58,45
SCOUT,15,106,105,96,74
FRONTIER_CENTRAL_GREEDY,15,80,79,71,46
ZONE_SPLIT,15,111,110,72,52
ZONE_VORONOI,15,106,105,89,60
WANDERING,16,1424,1423,530,266
GREEDY,16,122,121,94,69
FRONTIER,16,69,68,58,46
GREEDY_FRONTIER,16,92,91,57,46
FRONTIER_ASSIST,16,69,68,58,46
SCOUT,16,104,103,75,52
FRONTIER_CENTRAL_GREEDY,16,76,75,64,50
ZONE_SPLIT,16,80,79,66,49
ZONE_VORONOI,16,73,72,56,45
WANDERING,17,1816,1815,664,383
GREEDY,17,155,154,126,61
FRONTIER,17,82,81,70,53
GREEDY_FRONTIER,17,74,73,63,50
FRONTIER_ASSIST,17,82,81,70,53
SCOUT,17,109,108,69,49
FRONTIER_CENTRAL_GREEDY,17,77,76,68,50
ZONE_SPLIT,17,88,87,71,49
ZONE_VORONOI,17,87,86,66,46
WANDERING,18,1231,1230,545,216
GREEDY,18,763,762,191,129
FRONTIER,18,78,77,69,46
GREEDY_FRONTIER,18,101,100,63,52
FRONTIER_ASSIST,18,78,77,69,46
SCOUT,18,131,130,66,53
FRONTIER_CENTRAL_GREEDY,18,71,70,59,46
ZONE_SPLIT,18,108,107,86,57
ZONE_VORONOI,18,86,85,57,45
WANDERING,19,1890,1889,570,376
GREEDY,19,170,169,118,73
FRONTIER,19,75,74,61,47
GREEDY_FRONTIER,19,67,66,59,48
FRONTIER_ASSIST,19,75,74,61,47
SCOUT,19,95,94,64,53
FRONTIER_CENTRAL_GREEDY,19,77,76,67,56
ZONE_SPLIT,19,88,87,66,49
ZONE_VORONOI,19,88,87,63,50
