Behaviour,Round,total100,total90,total75,total50
WANDERING,0,533,532,228,151
GREEDY,0,123,122,60,42
FRONTIER,0,48,47,34,27
GREEDY_FRONTIER,0,60,59,44,32
FRONTIER_ASSIST,0,48,47,34,27
SCOUT,0,68,67,38,29
FRONTIER_CENTRAL_GREEDY,0,50,49,35,29
ZONE_SPLIT,0,63,62,43,34
ZONE_VORONOI,0,48,47,36,26
WANDERING,1,999,998,271,150
GREEDY,1,69,68,45,32
FRONTIER,1,51,50,36,25
GREEDY_FRONTIER,1,49,48,37,29
FRONTIER_ASSIST,1,49,48,36,25
SCOUT,1,59,58,48,32
FRONTIER_CENTRAL_GREEDY,1,60,59,33,27
ZONE_SPLIT,1,89,88,45,34
ZONE_VORONOI,1,56,55,37,28
WANDERING,2,924,923,274,155
GREEDY,2,473,472,77,39
FRONTIER,2,50,49,39,31
GREEDY_FRONTIER,2,61,60,42,33
FRONTIER_ASSIST,2,50,49,39,31
SCOUT,2,59,58,42,32
FRONTIER_CENTRAL_GREEDY,2,51,50,42,33
ZONE_SPLIT,2,68,67,41,33
ZONE_VORONOI,2,76,75,44,34
WANDERING,3,776,775,276,129
GREEDY,3,93,92,56,36
FRONTIER,3,49,48,34,26
GREEDY_FRONTIER,3,54,53,39,30
FRONTIER_ASSIST,3,49,48,34,26
SCOUT,3,53,52,38,28
FRONTIER_CENTRAL_GREEDY,3,49,48,36,26
ZONE_SPLIT,3,61,60,45,36
ZONE_VORONOI,3,66,65,36,27
WANDERING,4,626,625,246,147
GREEDY,4,226,225,52,34
FRONTIER,4,46,45,36,27
GREEDY_FRONTIER,4,48,47,37,29
FRONTIER_ASSIST,4,46,45,36,27
SCOUT,4,74,73,46,33
FRONTIER_CENTRAL_GREEDY,4,50,49,36,28
ZONE_SPLIT,4,100,99,50,34
ZONE_VORONOI,4,63,62,40,28
WANDERING,5,798,797,220,111
GREEDY,5,87,86,42,33
FRONTIER,5,47,46,35,27
GREEDY_FRONTIER,5,40,39,34,27
FRONTIER_ASSIST,5,47,46,35,27
SCOUT,5,52,51,39,29
FRONTIER_CENTRAL_GREEDY,5,63,62,36,29
ZONE_SPLIT,5,57,56,43,32
ZONE_VORONOI,5,51,50,36,27
WANDERING,6,905,904,198,140
GREEDY,6,103,102,73,41
FRONTIER,6,54,53,36,27
GREEDY_FRONTIER,6,48,47,36,29
FRONTIER_ASSIST,6,54,53,36,27
SCOUT,6,60,59,39,29
FRONTIER_CENTRAL_GREEDY,6,47,46,37,29
ZONE_SPLIT,6,89,88,44,32
ZONE_VORONOI,6,97,96,40,29
WANDERING,7,722,721,187,107
GREEDY,7,101,100,48,33
FRONTIER,7,51,50,35,27
GREEDY_FRONTIER,7,51,50,38,29
FRONTIER_ASSIST,7,51,50,35,27
SCOUT,7,53,52,39,30
FRONTIER_CENTRAL_GREEDY,7,60,59,34,27
ZONE_SPLIT,7,56,55,42,33
ZONE_VORONOI,7,68,67,40,29
WANDERING,8,581,580,221,139
GREEDY,8,154,153,58,39
FRONTIER,8,47,46,36,26
GREEDY_FRONTIER,8,49,48,40,32
FRONTIER_ASSIST,8,47,46,36,26
SCOUT,8,57,56,43,29
FRONTIER_CENTRAL_GREEDY,8,53,52,39,27
ZONE_SPLIT,8,72,71,42,33
ZONE_VORONOI,8,64,63,43,28
WANDERING,9,644,643,216,132
GREEDY,9,138,137,56,34
FRONTIER,9,51,50,36,26
GREEDY_FRONTIER,9,51,50,37,30
FRONTIER_ASSIST,9,51,50,36,26
SCOUT,9,53,52,41,30
FRONTIER_CENTRAL_GREEDY,9,50,49,39,28
ZONE_SPLIT,9,66,65,44,34
ZONE_VORONOI,9,69,68,41,28
WANDERING,10,811,810,249,128
GREEDY,10,196,195,64,48
FRONTIER,10,49,48,37,29
GREEDY_FRONTIER,10,64,63,46,33
FRONTIER_ASSIST,10,49,48,37,29
SCOUT,10,56,55,43,31
FRONTIER_CENTRAL_GREEDY,10,46,45,36,28
ZONE_SPLIT,10,57,56,42,32
ZONE_VORONOI,10,73,72,37,29
WANDERING,11,544,543,210,97
GREEDY,11,57,56,41,29
FRONTIER,11,51,50,35,27
GREEDY_FRONTIER,11,52,51,38,29
FRONTIER_ASSIST,11,51,50,35,27
SCOUT,11,54,53,41,31
FRONTIER_CENTRAL_GREEDY,11,49,48,36,27
ZONE_SPLIT,11,104,103,42,33
ZONE_VORONOI,11,51,50,37,28
WANDERING,12,660,659,276,147
GREEDY,12,107,106,69,37
FRONTIER,12,48,47,35,26
GREEDY_FRONTIER,12,65,64,39,30
FRONTIER_ASSIST,12,48,47,35,26
SCOUT,12,66,65,41,31
FRONTIER_CENTRAL_GREEDY,12,56,55,37,27
ZONE_SPLIT,12,57,56,44,35
ZONE_VORONOI,12,71,70,40,31
WANDERING,13,1279,1278,251,112
GREEDY,13,240,239,49,36
FRONTIER,13,43,42,33,26
GREEDY_FRONTIER,13,51,50,38,29
FRONTIER_ASSIST,13,43,42,33,26
SCOUT,13,69,68,47,30
FRONTIER_CENTRAL_GREEDY,13,57,56,37,27
ZONE_SPLIT,13,56,55,42,33
ZONE_VORONOI,13,58,57,36,27
WANDERING,14,923,922,361,138
GREEDY,14,143,142,48,35
FRONTIER,14,45,44,34,26
GREEDY_FRONTIER,14,57,56,41,31
FRONTIER_ASSIST,14,45,44,34,26
SCOUT,14,60,59,44,32
FRONTIER_CENTRAL_GREEDY,14,52,51,37,27
ZONE_SPLIT,14,107,106,45,35
ZONE_VORONOI,14,59,58,38,28
WANDERING,15,681,680,171,111
GREEDY,15,243,242,54,36
FRONTIER,15,54,53,34,25
GREEDY_FRONTIER,15,54,53,41,31
FRONTIER_ASSIST,15,54,53,34,25
SCOUT,15,69,68,40,31
FRONTIER_CENTRAL_GREEDY,15,48,47,34,27
ZONE_SPLIT,15,111,110,50,34
ZONE_VORONOI,15,57,56,36,28
WANDERING,16,668,667,198,113
GREEDY,16,176,175,45,33
FRONTIER,16,47,46,36,25
GREEDY_FRONTIER,16,54,53,37,30
FRONTIER_ASSIST,16,47,46,36,25
SCOUT,16,52,51,40,30
FRONTIER_CENTRAL_GREEDY,16,52,51,39,29
ZONE_SPLIT,16,68,67,43,35
ZONE_VORONOI,16,53,52,36,27
WANDERING,17,543,542,192,120
GREEDY,17,355,354,75,42
FRONTIER,17,51,50,38,27
GREEDY_FRONTIER,17,58,57,45,34
FRONTIER_ASSIST,17,51,50,38,27
SCOUT,17,50,49,40,29
FRONTIER_CENTRAL_GREEDY,17,60,59,34,27
ZONE_SPLIT,17,58,57,42,32
ZONE_VORONOI,17,104,103,46,29
WANDERING,18,779,778,265,129
GREEDY,18,77,76,52,32
FRONTIER,18,46,45,34,27
GREEDY_FRONTIER,18,50,49,40,29
FRONTIER_ASSIST,18,46,45,34,27
SCOUT,18,60,59,38,28
