Behaviour,Round,total100,total90,total75,total50
FRONTIER_CENTRAL_GREEDY,14,198,197,164,87
ZONE_SPLIT,14,183,182,132,96
ZONE_VORONOI,14,206,205,157,78
WANDERING,15,-1,-1,-1,1999
GREEDY,15,1552,1551,1328,340
FRONTIER,15,192,191,167,114
GREEDY_FRONTIER,15,175,174,146,115
FRONTIER_ASSIST,15,185,184,167,114
SCOUT,15,131,130,112,88
FRONTIER_CENTRAL_GREEDY,15,141,140,117,97
ZONE_SPLIT,15,194,193,130,95
ZONE_VORONOI,15,183,182,143,111
WANDERING,16,-1,-1,1999,1861
GREEDY,16,1361,1360,978,316
FRONTIER,16,163,162,121,86
GREEDY_FRONTIER,16,215,214,188,109
FRONTIER_ASSIST,16,163,162,121,86
SCOUT,16,215,214,110,75
FRONTIER_CENTRAL_GREEDY,16,146,145,108,81
ZONE_SPLIT,16,304,303,171,116
ZONE_VORONOI,16,191,190,145,86
WANDERING,17,-1,-1,1999,927
GREEDY,17,-1,1999,180,121
FRONTIER,17,128,127,104,71
GREEDY_FRONTIER,17,193,192,109,70
FRONTIER_ASSIST,17,128,127,104,71
SCOUT,17,163,162,84,68
FRONTIER_CENTRAL_GREEDY,17,187,186,115,69
ZONE_SPLIT,17,238,237,124,78
ZONE_VORONOI,17,249,248,140,88
WANDERING,18,-1,-1,1999,1978
GREEDY,18,-1,1999,1045,877
FRONTIER,18,127,126,95,67
GREEDY_FRONTIER,18,164,163,107,93
FRONTIER_ASSIST,18,127,126,95,67
SCOUT,18,240,239,119,76
FRONTIER_CENTRAL_GREEDY,18,220,219,94,67
ZONE_SPLIT,18,195,194,135,81
ZONE_VORONOI,18,221,220,172,111
WANDERING,19,-1,-1,1999,1274
GREEDY,19,-1,1999,457,398
FRONTIER,19,183,182,142,101
GREEDY_FRONTIER,19,149,148,124,93
FRONTIER_ASSIST,19,236,235,157,101
SCOUT,19,140,139,104,84
FRONTIER_CENTRAL_GREEDY,19,163,162,104,81
ZONE_SPLIT,19,185,184,117,85
ZONE_VORONOI,19,164,163,126,87
